CVEGEO,NOM_LOC,NIVEL,VIVIENDAS_INEGI,RANK_PREMIUM_0_100,Acumulado_15y_Energia_GWh,Acumulado_15y_Dinero_MXN,Acumulado_15y_CO2_Ton,Gen_2026_MWh,Ahorro_2026_MXN,CO2_2026_Ton,Gen_2030_MWh,Ahorro_2030_MXN,CO2_2030_Ton,Gen_2035_MWh,Ahorro_2035_MXN,CO2_2035_Ton,Gen_2040_MWh,Ahorro_2040_MXN,CO2_2040_Ton
1904800010282,CIUDAD SANTA CATARINA,A/B,338.0,99.82593559617058,210.83995638802594,2090450546.596788,89185.30155213497,1592.4458487872562,9873164.26248099,673.6045940370094,8919.057162635332,67215252.2968012,3772.7611797947457,17668.420609293258,169939020.42243236,7473.7419177310485,25979.204716106415,318909699.7434897,10989.203594913013
190460001106A,SAN NICOLÁS DE LOS GARZA,A/B,350.0,99.73890339425587,207.911664279369,2061416913.9590008,87946.63399017308,1570.3288521213808,9736038.883152561,664.249104447344,8795.183086993147,66281720.07523369,3720.362445798101,17423.029282483236,167578788.98916423,7369.941386490408,25618.387433354987,314480459.7970805,10836.577884309158
1900600010259,CIUDAD APODACA,A/B,1165.0,94.7780678851175,162.56852469278664,1611845625.1149628,68766.48594504876,1227.8582140002713,7612720.926801682,519.3840245221148,6877.054944518114,51826440.25326207,2908.9942415311625,13623.26724645233,131031785.01407216,5762.642045249336,20031.312165596526,245895893.19637635,8473.24504604733
1902600010143,GUADALUPE,A/B,688.0,97.82419495213229,154.61614578554529,1532998830.0473676,65402.62966728565,1167.7949650992246,7240328.783615192,493.97727023697195,6540.649439282252,49291241.689540766,2766.6947128163924,12956.856677105468,124622091.59221677,5480.750374415613,19051.438695925277,233867382.0308389,8058.758568376392
190460001070A,SAN NICOLÁS DE LOS GARZA,A/B,384.0,99.30374238468234,151.40462965408096,1501157068.327077,64044.158343676245,1143.538815461005,7089940.655858232,483.71691894000514,6404.794279539474,48267418.35581577,2709.227980245197,12687.731133843572,122033578.88901988,5366.910269615831,18655.723213633857,229009746.58662656,7891.370919367121
1901900010577,SAN PEDRO GARZA GARCÍA,A/B,1010.0,94.8651000870322,143.86074362524982,1426360426.6344986,60853.09455348067,1086.5608583596127,6736677.321829599,459.61524308611615,6085.669044113402,45862446.30301848,2574.238005659969,12055.552330217477,115953134.63224591,5099.498635681993,17726.183277962013,217599108.53884578,7498.175526577932
1904600010413,SAN NICOLÁS DE LOS GARZA,A/B,1185.0,91.55787641427328,131.88198457275743,1307592599.9007988,55786.0794742764,996.0869014609592,6175738.789057948,421.34475931798573,5578.937594548928,42043647.79011198,2359.8906024941966,11051.730488558083,106298140.32219917,4674.8819966600695,16250.188694198734,199480424.97348097,6873.829817646064
1901900010187,SAN PEDRO GARZA GARCÍA,A/B,1056.0,91.47084421235857,125.54829489487307,1244794896.4866476,53106.92874053131,948.2493947196305,5879146.2472617095,401.1094939664037,5311.006689728023,40024483.315968595,2246.5558297549537,10520.966324332732,101193125.8934423,4450.368755192745,15469.766313313663,189900290.78997168,6543.71115053168
1900600010206,CIUDAD APODACA,A/B,2239.0,81.3751087902524,121.77500428690901,1207383214.4268665,51510.82681336251,919.7502379760107,5702451.475451266,389.05435066385246,5151.387065439494,38821567.68010737,2179.036728680906,10204.763993974108,98151817.59177263,4316.615169451047,15004.83029816266,184192933.43965924,6347.0432161228055
1901900010242,SAN PEDRO GARZA GARCÍA,A/B,587.0,96.77980852915579,114.43913509199841,1134649032.391462,48407.75414391533,864.3434040589024,5358929.105165195,365.6172599169157,4841.061462039118,36482910.87520466,2047.7689984425467,9590.017032862523,92239036.89172405,4056.5772049008474,14100.921708680593,173096934.92787376,5964.689882771891
1904600010235,SAN NICOLÁS DE LOS GARZA,A/B,909.0,93.03742384682332,112.64976023723426,1116907615.1226969,47650.84858035008,850.8284963146164,5275136.677150622,359.90045394108273,4765.366433030232,35912462.63390842,2015.750001171788,9440.067146212567,90796783.65283833,3993.1484028479153,13880.439137624573,170390384.38860515,5871.425755215194
1904600010220,SAN NICOLÁS DE LOS GARZA,A/B,566.0,97.12793733681463,110.34004223953552,1094007063.7590466,46673.83786732352,833.3835067580093,5166977.741899658,352.52122335863794,4667.6595884455655,35176130.29629369,1974.4200059124742,9246.512424558709,88935128.86640584,3911.2747555883334,13595.84110541734,166896779.63855183,5751.040787591534
1901900010435,SAN PEDRO GARZA GARCÍA,A/B,1159.0,88.59878154917318,109.98900845625646,1090526609.784852,46525.35057699648,830.7321957800367,5150539.613836228,351.3997188149556,4652.809981982357,35064221.60160406,1968.138622378537,9217.095739802657,88652192.28129368,3898.8314979365236,13552.58754629929,166365817.28993833,5732.744532084599
1903900012947,MONTERREY,A/B,723.0,94.42993907745866,109.54284030289496,1086102910.9943244,46336.62144812456,827.3623476931116,5129646.555697292,349.9742730741862,4633.935953870462,34921984.306981415,1960.1549084872054,9179.706780275676,88292576.48443592,3883.0159680566107,13497.611753320785,165690957.76965958,5709.489771654691
1902100010490,CIUDAD GENERAL ESCOBEDO,A/B,967.0,91.64490861618799,109.1293871333382,1082003576.9824092,46161.73075740205,824.239591481206,5110285.467183477,348.6533471965501,4616.445851346617,34790176.46760999,1952.7565951196189,9145.05934139777,87959329.27727126,3868.3601014112564,13446.66702388501,165065581.87592393,5687.940151103358
1903900013042,MONTERREY,A/B,773.0,93.99477806788512,108.15028873985517,1072295944.6773552,45747.57213695874,816.8445929289066,5064436.4761592215,345.5252628089275,4575.027541985709,34478042.34147576,1935.2366502599548,9063.010746196467,87170166.61220475,3833.6535456411057,13326.024817173993,163584629.30870584,5636.908497664599
1901900010079,SAN PEDRO GARZA GARCÍA,A/B,1234.0,87.98955613577023,108.02682623305134,1071071830.0965436,45695.34749658071,815.9120972112601,5058655.0027098125,345.130817120363,4569.8047693457875,34438682.80220161,1933.0274174332678,9052.664569233344,87070654.65145226,3829.277112785705,13310.812056775212,163397883.9135307,5630.473500015914
1902100011408,CIUDAD GENERAL ESCOBEDO,A/B,2009.0,81.02697998259356,107.18357673813699,1062711121.8239759,45338.652960231935,809.5431471285868,5019167.512197239,342.43675123539225,4534.133207957001,34169856.96614657,1917.9383469658114,8982.000132520498,86390987.49731128,3799.38605605617,13206.908832593093,162122411.99711144,5586.522436186878
1901900010492,SAN PEDRO GARZA GARCÍA,A/B,782.0,92.60226283724978,100.31546586556685,994614702.2761155,42433.44206113478,757.6692289424794,4697549.219443372,320.4940838426688,4243.594950782285,31980320.34789473,1795.0406641809066,8406.45139040019,80855224.47671379,3555.9289381392805,12360.636326052445,151733929.59700444,5228.549165920184
