28938,55840,17
28989,55808,17
29006,55838,17
28990,55821,17
29007,55851,17
28941,55848,17
28994,55866,17
28986,55830,17
28993,55829,17
28981,55857,17
28989,55838,17
28990,55851,17
28977,55866,17
29006,55819,17
28969,55830,17
28986,55860,17
28980,55874,17
28964,55857,17
28986,55811,17
28990,55881,17
28980,55825,17
29021,55812,17
29009,55840,17
28989,55819,17
28969,55860,17
29012,55848,17
28969,55811,17
29004,55812,17
28963,55825,17
28980,55855,17
28973,55856,17
29008,55857,17
29009,55870,17
28952,55860,17
28980,55806,17
28960,55847,17
29008,55808,17
29012,55878,17
29009,55821,17
28952,55811,17
29020,55865,17
28963,55855,17
29012,55829,17
28943,55847,17
28991,55808,17
29008,55838,17
28996,55866,17
28999,55873,17
28995,55829,17
29012,55859,17
28991,55838,17
28979,55866,17
29003,55845,17
28966,55857,17
28939,55837,17
28999,55854,17
28962,55866,17
28991,55819,17
28986,55845,17
29003,55875,17
28978,55809,17
28982,55854,17
28971,55811,17
28974,55818,17
28999,55835,17
28986,55875,17
29014,55877,17
28962,55847,17
28978,55839,17
29014,55828,17
28974,55848,17
28966,55868,17
28982,55835,17
29011,55850,17
28945,55847,17
28961,55814,17
29013,55845,17
29014,55858,17
28978,55820,17
28982,55865,17
29017,55866,17
29014,55809,17
29011,55880,17
28974,55829,17
29018,55854,17
29008,55823,17
28944,55814,17
28961,55844,17
29010,55818,17
29017,55817,17
28997,55858,17
28965,55865,17
29013,55826,17
28997,55809,17
28973,55852,17
29001,55854,17
29008,55853,17
28944,55844,17
28965,55816,17
29010,55848,17
28988,55845,17
29005,55875,17
28961,55825,17
28996,55826,17
28997,55839,17
28956,55852,17
28984,55854,17
28948,55816,17
29013,55807,17
28993,55848,17
28935,55831,17
28987,55862,17
28988,55875,17
28997,55869,17
28939,55852,17
28987,55813,17
28967,55854,17
28988,55826,17
29016,55828,17
28948,55846,17
28996,55807,17
28984,55835,17
28944,55855,17
28970,55813,17
28987,55843,17
28971,55826,17
29016,55858,17
29016,55809,17
28976,55829,17
28935,55842,17
29019,55816,17
28971,55856,17
28987,55824,17
28967,55865,17
28931,55827,17
29019,55846,17
29006,55861,17
28967,55816,17
29011,55810,17
28970,55824,17
29010,55882,17
28958,55852,17
29015,55806,17
29002,55846,17
29019,55876,17
28961,55859,17
28950,55816,17
29010,55833,17
28954,55861,17
29018,55814,17
29019,55827,17
29006,55842,17
28941,55852,17
28998,55806,17
29015,55836,17
28950,55846,17
28993,55833,17
29003,55864,17
29010,55863,17
28953,55853,17
29001,55814,17
29002,55827,17
29019,55857,17
28946,55855,17
28989,55842,17
29006,55872,17
29010,55814,17
28981,55806,17
28998,55836,17
28993,55863,17
28985,55827,17
28989,55872,17
28993,55814,17
29021,55816,17
28981,55836,17
29002,55808,17
28989,55823,17
28976,55863,17
28992,55831,17
28976,55814,17
28993,55844,17
29021,55846,17
28980,55859,17
28936,55834,17
28985,55808,17
29016,55873,17
28972,55823,17
28989,55853,17
28981,55817,17
29012,55882,17
28975,55831,17
28959,55814,17
28993,55874,17
29004,55846,17
29021,55876,17
28963,55859,17
28992,55812,17
28955,55823,17
28972,55853,17
29020,55814,17
29021,55827,17
28980,55840,17
29008,55842,17
28995,55882,17
28952,55845,17
28959,55844,17
29004,55876,17
28995,55833,17
29012,55863,17
28968,55813,17
28975,55812,17
28955,55853,17
29008,55872,17
29015,55821,17
28995,55863,17
28951,55813,17
28958,55812,17
29004,55857,17
28963,55870,17
28946,55840,17
28991,55872,17
28995,55814,17
29015,55851,17
28942,55849,17
28991,55823,17
29007,55815,17
28951,55843,17
28994,55830,17
28995,55844,17
28938,55834,17
28998,55851,17
29015,55881,17
28991,55853,17
